Tara,Comp0,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19
Belgium,1.7536165276275177,0.5203188396374554,1.4068909400862275,0.2968097361497412,-2.027566201976869,1.2045097002589944,-1.3709507168565758,1.2069030794339461,-0.3471074817198132,-0.5206080528153865,-0.5854180313951245,0.10541266442558367,-0.16490207081270497,0.4459907791958741,-0.1534187768908539,-0.08292619963088943,-0.14974595915467873,0.01722750950545339,-0.01794753788158806,-0.02179944820677271
Bulgaria,-5.4676585416074355,-0.09180243130985764,-0.7935236088453204,0.9474737473950278,0.14533509693824448,-0.4643839044729223,-0.4418388366297788,-0.028790815923297707,0.7095297072129316,-0.7359591737694029,-0.28919909695469775,-0.2787100647713023,0.2916006388128255,0.8151584264160023,-0.290584859973699,0.009594647843250115,0.08744292547908122,-0.06327819765517767,0.06779189494661741,-0.002654899913625319
Czechia,0.786020351158631,3.718047828122086,2.399742560910717,0.9694259764783684,1.023964389498816,-1.4834949600930851,-0.8089347627032957,0.4143381826923409,-0.1556271152278885,-0.1769401123742524,0.3898407859288462,-0.0174886314711497,-0.7684304821024464,0.06221544599551382,0.02031293331112667,0.10761150763854842,0.2185370666997041,0.09203347323490324,-0.07277087657333557,0.0009023209835496392
Denmark,3.4293557779717685,-1.8075022734455104,-0.9346686280145824,-0.4044078453608215,-0.7375297871706027,0.8427118320946532,-0.47256612041438584,0.4983630889259716,0.2251146074684501,-0.39470398935652323,0.7236025563280679,-0.41999377454442105,-0.07934043725068395,-0.2397248306429561,-0.11536822557595447,6.24360338677472e-05,-0.12085494934043535,-0.06964846544073673,0.005734457745444363,-0.01554031911377702
Germany,2.810089401832827,2.1024549951819633,0.20510958198902507,0.12473776695260995,1.1012649473790095,0.2552914279873935,-0.0014592832090502077,0.2556543629133699,0.06035346537823319,-0.4372972149934475,0.40663340682862187,-0.6963899867033131,0.19824785157687763,-0.319797906653599,-0.08516524029706442,-0.23777734756302663,0.05260152563942834,0.03270859689495244,0.07436588767222312,0.01927298390297832
Estonia,1.2898443990574258,0.6657970183548941,-0.3898938363527978,0.30500708427755063,-0.826821322872206,-0.4777924899413272,0.1992476385315661,-0.2923315418916332,-0.3685671202483011,0.08383537379010432,0.5295057783415169,0.09900531308540933,-0.23324028055177284,-0.08796951536619414,0.05072626246071439,0.19850837208423405,0.006972939021942246,-0.14519408750105317,-0.004530048568724071,0.010382792414809515
Ireland,-0.31040305465655016,-2.24341890770765,-1.0273769521331686,-2.330142305912134,0.24034147609879797,0.44986120626070986,-0.9893151378784634,-1.3038805308810206,-0.09215830308469836,-1.2750764298794157,0.14583044070867746,0.2183209984031967,-0.7307571781990029,0.25896507874797975,0.13180394058287168,-0.12355934729611175,0.057080237498176756,0.10212694768571463,-0.006978073948550958,0.00021615517003970602
Greece,-1.5806741951057788,-2.9495218178070877,3.6255884581165194,1.5242298012382125,2.654594548432899,0.9349686498255054,0.3697738330328086,-1.070368629982944,-0.41520462218772625,-0.5894721887345991,0.1662973139683885,0.05953442350102945,0.3016874104776429,0.041978610216186985,-0.013280850249014499,0.04227123858552469,-0.13623158010577024,-0.05502841336219642,-0.0698810467748347,0.0076180791873052866
Spain,-0.6910305536812456,-1.024956092055745,-0.2620736767023574,-0.9605088727232233,1.059292528753935,0.7934800078522277,1.353313947664392,0.1614115362576437,-1.1896291620677257,0.20183784184236014,-0.1857964702432487,-0.01866190910259775,-0.5148571626599333,-0.4529047863964819,0.09074762537017254,0.23015180555720927,-0.05242612469382232,0.1055440385839786,0.09555414942397851,0.020719141563812632
France,-0.2264041392502575,2.350351026990876,-0.8042877245329527,-1.1344279307622542,0.9981684340917747,1.9662337280970543,-0.31506275969323494,-0.887047780500433,-0.7432203742196634,0.6477082354454263,-0.1719838209049235,-0.03709049176763675,-0.2536518453561099,0.04230477210662619,-0.16210210875723594,-0.222290396744821,0.10400563981152429,-0.07938335906707751,-0.016597651254980823,-0.019313374121010574
Croatia,-0.8837163904391137,0.008199955516864236,-1.634213190221514,2.2219354429383413,-0.5176332801903454,0.579428746520893,1.1287462081698272,-0.9141169093162933,0.5143839010353245,0.5516557981382177,0.47527657285304764,0.3135090984048113,-0.2401018935160218,-0.43354174633173326,-0.12302996066643689,-0.0034090436381274494,-0.00318783062298672,0.06980906177141281,-0.048453955340658446,0.0049213760947680015
Italy,-3.7380318713896568,0.31787479224670423,-1.161105298351189,0.2551667920108965,1.2537855337299295,1.0799215344113207,0.3861167146443469,0.5942048659130518,0.3150275555530459,0.06461526918206376,-1.1291564970429595,-0.3076389630803169,0.30398741690035486,0.027354117736065022,0.16724291936640348,0.14368583946247215,0.15040666238955502,-0.12453001402696062,-0.01760267477310553,0.03563624502821532
Cyprus,-1.1304751237916246,-1.5298580980703267,-2.310860669190424,1.4088352957935215,1.2774923886165268,0.01780373873915247,-2.3688774097187726,0.25210796219971277,-0.8739421451014774,1.002609051011348,0.7386661076070574,0.04003343980163325,0.637016718890086,0.4064255888582048,0.25933679195660486,-0.03027914698339859,0.03294431069766646,0.12846774367516509,0.005174403481662955,-0.01891763876257878
Latvia,-2.2066133673371744,-0.4196297254621077,-0.9489699173114967,-0.13334033144395094,-1.6645219683414014,-0.12769125168732884,-0.5971765398575754,-0.3925854420314016,-0.891034338174288,-0.07213231481085115,0.5070157714141934,0.42526970373752065,-0.1362960437093794,-0.29372313128862515,-0.13509078413603987,-0.07464871857455489,0.013467407052212953,-0.24577484981040162,-0.03812631938798477,0.04088280627389526
Lithuania,0.11472823986549747,0.2732334575550555,0.8530553965339741,1.1110368754376687,-1.9291242776123956,-1.1218930688301272,0.5807593149493749,-2.243329270871257,-0.3091328641965855,0.3796342990831574,-0.43774547410725356,0.3340167769145006,0.32746628248807463,0.37488787399109497,-0.3605952047467526,0.10045816087187713,0.03988787128858976,0.07350819032715575,0.02643692109593253,-0.015081848313104341
Luxembourg,0.08923634229256203,1.728599182424038,-0.39194484156335124,-3.57694479572733,0.5003346974312487,-1.4222446947598049,0.8634020919283087,-0.17108191441831094,-0.459717268153639,0.3662951326910145,0.07215293708698864,0.2036212090468623,0.3687783179929387,0.7523851840818968,0.2774643407638864,0.013938499684282542,-0.14938526137335298,-0.03371886618644773,-0.05805707214984584,0.014543268049833084
Hungary,-1.2415827672236721,-0.016902216106881727,0.014455011555246661,0.7277640334071797,-1.5028637075146944,-1.7338907241923303,0.09794079245908735,-0.01488284296526976,0.5605647428166597,-0.3233647293779616,0.5030054841866664,-0.9909646748471704,0.11667439892257431,-0.14210871901452768,0.5006015226100022,0.04588323060538851,-0.02884000413343832,-0.04503595669252063,0.016649374494064468,0.005199451363086455
