,Comp0,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19
Research and development expenditure,1.0,0.6040782082538141,0.623292795061718,-0.43930695907237455,0.6413891039496241,0.17095306935354057,0.5056849693758529,-0.3670005089886206,0.6605285997408803,0.382634967442733,0.6913122113367657,-0.6631624431008003,0.5633433548746225,0.6712630643954801,0.4747257191892401,0.5443280822400896,0.19836535028707786,0.25279102528160846,-0.29834416752719234,0.2467091513169521
Human resources in science and technology,0.604078208253814,0.9999999999999998,0.8406858147740183,-0.5039564562107753,0.8199059844865423,0.0525518126076573,0.712344096973675,-0.46222826488321217,0.8230189831250506,0.2100029197304923,0.8131508992543452,-0.5327181659553332,0.355933694793195,0.8153805065293085,0.06976199042306432,0.6597587556780767,0.15134917610803122,0.25577430628759207,-0.37829003353526214,0.20578752387257673
Households -  level of internet access,0.623292795061718,0.8406858147740183,1.0,-0.4405282107965692,0.8226152076020126,0.06500705440916735,0.7351536418584533,-0.5364398737966379,0.8877202845695636,0.29213302891223514,0.7850072485867289,-0.4979771424119726,0.43177028504726517,0.7666618406856774,0.09758503041564943,0.5596546948150221,0.034620855970273146,0.28263053837245405,-0.4609175074803836,0.08451208354368157
Individuals who have basic information skills,-0.4393069590723745,-0.5039564562107753,-0.4405282107965692,0.9999999999999999,-0.7827489416421969,0.34161279797555916,-0.5536933294330935,0.7452581170680804,-0.6534904147581777,-0.23686539015791763,-0.6632272386404665,0.6806218870439271,-0.3048701810914226,-0.6698529119634703,-0.17842395832246025,-0.4357585151671648,-0.4189210821259206,-0.36330048777952423,0.22006335689121237,-0.16646126675082457
Individuals who have above basic information skills,0.6413891039496241,0.8199059844865423,0.8226152076020126,-0.7827489416421968,1.0,-0.1281917203499705,0.8194468814344342,-0.6028108655132282,0.9286855680293947,0.42057461545425895,0.8631825010735668,-0.7065213475051927,0.511343281423761,0.8915078176214198,0.15491717591898313,0.6495071918853829,0.28587705095448984,0.2973051680622882,-0.39099984772272117,0.22016248057319365
Individuals who have basic communication skills,0.17095306935354054,0.0525518126076573,0.06500705440916735,0.34161279797555916,-0.1281917203499705,1.0,-0.48132994198444906,0.10138741937454053,0.027028295612092402,0.05623174952508243,-0.02505978657918373,0.050943083859641275,0.28657473068727013,-0.143321293847425,0.1201092156178757,-0.23522693874014416,-0.445604119510727,-0.0020968302664485772,-0.07943361262752097,0.026859132696580877
Individuals who have above basic communication skills,0.5056849693758528,0.712344096973675,0.7351536418584534,-0.5536933294330935,0.8194468814344342,-0.4813299419844491,1.0,-0.3645204748850264,0.7394123162180293,0.30994194295118066,0.7289222663289804,-0.5026811443491425,0.29304774251076593,0.8200873537869218,0.05558744188500748,0.6412942127927952,0.29614372866462507,0.06014838437822755,-0.24904649491184758,0.12192693485428878
Individuals who have basic problem solving skills,-0.3670005089886206,-0.46222826488321217,-0.5364398737966379,0.7452581170680803,-0.6028108655132282,0.10138741937454053,-0.36452047488502637,1.0,-0.7049472288323316,-0.2366197545072032,-0.5761067467851118,0.5819956438201089,-0.3352669257184669,-0.5198105612296713,-0.3033915899115099,-0.20268890436941003,-0.07427549251685114,-0.45003209242531833,0.33838743862840537,-0.0922494308084171
Individuals who have above basic problem solving skills,0.6605285997408803,0.8230189831250506,0.8877202845695636,-0.6534904147581778,0.9286855680293946,0.027028295612092402,0.7394123162180294,-0.7049472288323316,1.0,0.44820733774876254,0.8631681800460153,-0.7240438758357162,0.555204283371207,0.8670855611877359,0.2053960007385158,0.5730209828096977,0.11648869964504996,0.320290822551894,-0.49591336744958503,0.21449244539694992
Individuals who have basic software skills,0.382634967442733,0.2100029197304923,0.29213302891223514,-0.23686539015791763,0.42057461545425895,0.05623174952508243,0.30994194295118066,-0.2366197545072032,0.4482073377487626,1.0,0.1646944669587486,-0.47550940624713955,0.9165651741852014,0.23292114161975758,0.20912354733958574,0.20451894425095365,0.19431943149070285,-0.006908954464381959,-0.21696926441848466,0.22095272366748758
