Tara,Comp0,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19
Belgium,0.20051053569463131,0.017652533298826035,0.1290591507973265,0.005744129507724606,0.2680513653961523,0.09459943465299228,0.12254952245464017,0.09497574919687372,0.007855898919165882,0.017672162663508843,0.02234601712212803,0.0007245252389718664,0.001773046625151426,0.012969394386470254,0.0015347052169563044,0.0004483854000047779,0.0014621036494798228,1.9351424224760082e-05,2.100282407418929e-05,3.098553069698297e-05
Bulgaria,0.8813310964781119,0.00024845325496879487,0.018563336146194168,0.026464926670434076,0.0006226978030734024,0.006357562548151382,0.0057552487295541325,2.4436796369458575e-05,0.014841489577244502,0.01596775169609438,0.002465642965097522,0.002290032409417627,0.002506762945120645,0.019589365471402057,0.0024893289520413805,2.713903510162318e-06,0.0002254164894669627,0.00011804416531675444,0.00013548520460891558,2.077938218758689e-07
Czechia,0.023679505483536874,0.5298281043202446,0.22071627358838114,0.03601922404573031,0.04018599759533057,0.0843484677148582,0.025080260612374953,0.006579834359886094,0.000928272707151709,0.0011999347886200394,0.005824780913449368,1.1722404396505227e-05,0.022631545634639535,0.0001483547597493,1.581431308444729e-05,0.0004438359525064291,0.001830439023774999,0.0003246359945741029,0.0002029645824971006,3.120521370869853e-08
Denmark,0.625765143778304,0.17383770764537182,0.046483798917670474,0.008702127183029144,0.028943124473507446,0.03778717851652859,0.011882599162267957,0.013215330230868044,0.002696457848508972,0.008289518666441028,0.02786034351346583,0.009385814962341624,0.00033494651319554083,0.003057822859150655,0.000708204542421299,2.074229932045942e-10,0.0007771684529815534,0.0002581127073499734,1.7497298301762033e-06,1.2850089342927996e-05
Germany,0.5343430207157845,0.29911161895015176,0.0028467659739867934,0.001052872536041381,0.08206604412965351,0.004410139553239514,1.4409835995820298e-07,0.004422687811725975,0.00024648147838171445,0.012939970616240684,0.01118886354442068,0.03281594407246241,0.0026594807203416506,0.006920398453408357,0.0004908000739348287,0.0038257873204610477,0.00018723047891669968,7.239418716849376e-05,0.00037422034927263743,2.51349360474253e-05
Estonia,0.42145279152430093,0.11229436982227654,0.038509424626298874,0.023566448779022565,0.1731799566801681,0.05782996489863241,0.010056819516851008,0.021648392079914314,0.03441180626025111,0.0017804463863124037,0.0710257286866746,0.002483083324852136,0.01378102119735115,0.001960372895571481,0.000651838517108861,0.009982330535176906,1.2317030734804007e-05,0.005340379914052725,5.198523446419917e-06,2.7308801002638766e-05
Ireland,0.005699830400099434,0.2977355630047856,0.062440963766591515,0.321199492426347,0.0034171764811940543,0.011972009347363413,0.057900094058579286,0.10057396260848613,0.0005024338595891416,0.09617947362675103,0.0012580744339723145,0.0028196874922511825,0.03159047387342842,0.003967275569096216,0.0010277009305194288,0.0009031526723781875,0.00019274428211196512,0.000617007814778914,2.8805876561610393e-06,2.764020217932141e-09
Greece,0.06837388938916175,0.2380722543261825,0.35971833085259114,0.06357794047589181,0.1928421454943352,0.02392211953278385,0.003741777064323091,0.031352509144563626,0.004717695621434216,0.009508941993985503,0.0007567911198101331,9.699332853038562e-05,0.0024906914669462436,4.8223826810888e-05,4.826777924407521e-06,4.8898496370459606e-05,0.0005078800411133316,8.286660381642545e-05,0.00013363627512324853,1.5881683016942026e-06
Spain,0.05841820207396095,0.12851807412096436,0.008402344615907973,0.11286426266932457,0.13727312014075027,0.07702392834621105,0.22405302009246472,0.0031872991628306264,0.17313181830190785,0.00498378013090539,0.004223073155780082,4.2605515679947884e-05,0.03242852569312778,0.0250938621275231,0.0010074516805888502,0.006480111211850078,0.00033623986213663466,0.0013627654143640244,0.0011169990110845446,5.251667263712783e-05
France,0.0035546571136625673,0.38308438334124917,0.044859235704654235,0.08924477743338093,0.06909341406467341,0.26810151767595086,0.006883719017831895,0.05456611280052343,0.03830577052253512,0.029092954476172946,0.002051181901589696,9.540127355070946e-05,0.004461748042376219,0.00012411026675603222,0.0018222431166912995,0.003426655078624204,0.0007501407689485032,0.0004370065366935005,1.9103909824737583e-05,2.5866954310740358e-05
